lineage,suppressed_on,days,removed,min_coverage,group
lineage_04231,2022-02-22,1507.5,0,16.0,redundant
lineage_04231,2022-10-18,1269.4,0,16.0,redundant
lineage_01548,2022-10-11,1276.3,0,,untagged
lineage_00436,2022-05-05,1435.3,0,9.0,redundant
lineage_03695,2022-07-12,1367.2,0,18.0,redundant
lineage_03070,2022-10-24,1263.3,0,3.0,redundant
lineage_00480,2019-06-07,2498.6,0,9.0,redundant
lineage_01059,2025-01-30,434.2,0,3.0,redundant
lineage_00056,2019-10-08,2375.3,0,6.0,redundant
lineage_00056,2020-10-15,2002.2,0,6.0,redundant
lineage_04305,2023-07-13,1001.7,0,17.0,redundant
lineage_01763,2024-01-29,801.5,0,12.0,redundant
lineage_00670,2021-11-20,1601.5,0,14.0,redundant
lineage_01363,2021-03-18,1848.7,0,57.0,redundant
lineage_01363,2022-09-28,1289.3,0,57.0,redundant
lineage_01363,2022-11-13,1243.2,0,57.0,redundant
lineage_02071,2024-01-29,801.5,0,31.0,redundant
lineage_01301,2021-09-07,1675.5,0,3.0,redundant
lineage_00978,2017-04-03,3293.0,0,5.0,redundant
lineage_02470,2022-06-29,1380.4,0,1.0,singleton
lineage_02470,2022-09-02,1315.4,0,1.0,singleton
lineage_00118,2022-05-16,1424.4,0,32.0,redundant
lineage_00327,2021-04-26,1809.2,0,1.0,singleton
lineage_02066,2021-04-26,1809.2,0,11.0,redundant
lineage_02066,2022-06-30,1379.3,0,11.0,redundant
lineage_03041,2025-10-17,174.9,0,30.0,redundant
lineage_02389,2023-01-20,1175.1,0,5.0,redundant
lineage_02389,2023-03-16,1120.2,0,5.0,redundant
lineage_02389,2024-03-11,759.4,0,5.0,redundant
lineage_02467,2023-02-01,1163.6,0,5.0,redundant
lineage_02467,2023-02-23,21.4,1,5.0,redundant
lineage_02467,2024-03-11,759.4,0,5.0,redundant
lineage_03054,2021-10-29,1623.6,0,18.0,redundant
lineage_00710,2024-03-11,759.4,0,5.0,redundant
lineage_02982,2022-08-03,1345.4,0,18.0,redundant
lineage_01340,2021-03-18,1848.7,0,57.0,redundant
lineage_01340,2021-04-19,1816.7,0,57.0,redundant
lineage_01340,2022-04-29,1441.5,0,57.0,redundant
lineage_01340,2022-09-18,1299.6,0,57.0,redundant
lineage_01340,2022-11-13,1243.2,0,57.0,redundant
lineage_01340,2023-03-14,1122.0,0,57.0,redundant
lineage_01340,2023-03-15,1121.5,0,57.0,redundant
lineage_01340,2023-03-21,1115.4,0,57.0,redundant
lineage_01340,2023-07-31,983.7,0,57.0,redundant
lineage_01340,2023-10-08,914.1,0,57.0,redundant
lineage_01340,2023-10-12,910.6,0,57.0,redundant
lineage_01340,2023-12-21,840.2,0,57.0,redundant
lineage_00330,2024-03-18,752.5,0,12.0,redundant
lineage_04266,2024-08-29,588.3,0,11.0,redundant
lineage_00594,2022-12-09,1217.5,0,32.0,redundant
lineage_00594,2023-01-13,1182.3,0,32.0,redundant
lineage_00594,2023-02-07,1157.5,0,32.0,redundant
lineage_00212,2022-12-07,1219.9,0,90.0,redundant
lineage_00212,2023-01-20,1175.6,0,90.0,redundant
lineage_00212,2025-10-09,182.5,0,90.0,redundant
lineage_03405,2024-03-13,757.4,0,,untagged
lineage_03405,2025-04-07,367.6,0,,untagged
lineage_03405,2025-04-10,364.5,0,,untagged
lineage_03405,2025-10-18,173.9,0,,untagged
lineage_04550,2020-01-07,2284.5,0,,untagged
lineage_02309,2023-01-18,1177.0,0,7.0,redundant
lineage_03164,2022-05-02,598.2,1,31.0,redundant
lineage_02156,2022-10-12,1275.4,0,31.0,redundant
lineage_01500,2023-01-13,1182.5,0,13.0,redundant
lineage_01793,2022-02-10,1519.4,0,7.0,redundant
lineage_04184,2021-08-23,1690.2,0,11.0,redundant
lineage_00219,2021-05-04,185.9,1,3.0,redundant
lineage_03482,2024-03-11,759.4,0,7.0,redundant
lineage_03482,2024-03-13,757.4,0,7.0,redundant
lineage_03726,2024-03-11,759.4,0,13.0,redundant
lineage_03726,2024-03-13,757.4,0,13.0,redundant
lineage_01296,2022-10-12,1275.3,0,30.0,redundant
lineage_02220,2020-02-13,2247.8,0,12.0,redundant
